id,fullName,customerType,amountAllocatedForService
735,Marsden Rice,legal_entity,16241
736,Emery Sawyer,legal_entity,17047
737,Lenore Hebert,private_persone,29172
738,Tana Tyson,private_persone,64059
739,Robin Gardner,legal_entity,9128
740,Cullen Clemons,legal_entity,64450
741,Colby Miles,private_persone,27583
742,Morgan Burns,private_persone,91470
743,Clementine Meadows,legal_entity,90767
744,Blake Knight,legal_entity,8036
745,Kennedy Hernandez,private_persone,73992
746,Reagan Wilkins,private_persone,24444
747,Tanner Dyer,legal_entity,88810
748,Christopher Newton,legal_entity,57308
749,Jack Sweet,private_persone,82168
750,Bruno Padilla,private_persone,76635
751,Travis Massey,legal_entity,61517
752,Holly Leonard,legal_entity,79141
753,Alana Mendez,private_persone,51449
754,Robert Anthony,private_persone,57634
755,Emmanuel Spears,legal_entity,96614
756,Abdul Bowen,legal_entity,82096
757,Leo Hawkins,private_persone,26294
758,Hiram Wagner,private_persone,41226
759,Morgan Mcgee,legal_entity,25771
760,Elizabeth Hatfield,legal_entity,65914
761,Samantha Leon,private_persone,98915
762,Vielka Ferguson,private_persone,28435
763,Rafael Lancaster,legal_entity,81348
764,Alfonso Johnson,legal_entity,8218
765,Reed Ferrell,private_persone,64208
766,Clinton Mccall,private_persone,6236
767,Orla Wall,legal_entity,20417
768,Xyla Stevens,legal_entity,91786
769,Carlos Smith,private_persone,94055
770,Audra Schmidt,private_persone,10531
771,Uriah Gallegos,legal_entity,28717
772,Benjamin Hendricks,legal_entity,40044
773,Isabelle Morrow,private_persone,29323
774,Vernon Leon,private_persone,52234
775,Micah Owens,legal_entity,27825
776,Lewis Daniels,legal_entity,10503
777,Alyssa Carter,private_persone,18947
778,Haviva Collins,private_persone,33675
779,Thomas Franco,legal_entity,1004
780,Kadeem Hayden,legal_entity,51693
781,Hector Gomez,private_persone,18580
782,Quynn Norton,private_persone,9864
783,Lance Berger,legal_entity,12475
784,Leigh Gibbs,legal_entity,34861
785,Isaiah Wright,private_persone,13993
786,Lucy Marquez,private_persone,9372
787,Kathleen Downs,legal_entity,97385
788,Brennan Clemons,legal_entity,6430
789,Lilah Sloan,private_persone,80079
790,Elijah Richard,private_persone,81298
791,Zephr Martinez,legal_entity,62081
792,Damon Kirby,legal_entity,19388
793,Macaulay Thomas,private_persone,15367
794,Ruby Noel,private_persone,32270
795,Cathleen Pratt,legal_entity,57734
796,Ruth Franklin,legal_entity,9263
797,Rogan Tanner,private_persone,24985
798,Stella Hayden,private_persone,38176
799,Howard Holden,legal_entity,8958
800,Gloria Edwards,legal_entity,8704
801,Yvonne Bradley,private_persone,68000
802,Carter Washington,private_persone,13886
803,Justine Johnston,legal_entity,28494
804,Elvis Cain,legal_entity,27439
805,Rana Lamb,private_persone,87286
806,Quintessa Weaver,private_persone,69842
807,Buffy Bryant,legal_entity,1885
808,Alma Robinson,legal_entity,44583
809,Naida Glass,private_persone,91708
810,Vincent Donaldson,private_persone,51847
811,Darius Curry,legal_entity,69584
812,Mallory Bradford,legal_entity,6404
813,Sophia Mooney,private_persone,59054
814,Leo Moran,private_persone,71195
815,Xaviera Walsh,legal_entity,68399
816,Jolene Kidd,legal_entity,67363
817,Justin Bridges,private_persone,88413
818,Nina Torres,private_persone,78982
819,Sasha Valdez,legal_entity,7967
820,Branden Mcdowell,legal_entity,48165
821,Kaitlin Summers,private_persone,88770
822,Gage Ingram,private_persone,11986
823,Odysseus Ramsey,legal_entity,15333
824,Arsenio Puckett,legal_entity,23917
825,Maia Bray,private_persone,54332
826,Raymond Campos,private_persone,29248
827,Isabelle Nunez,legal_entity,87089
828,Nathan Andrews,legal_entity,61750
829,Scarlett Moses,private_persone,65828
830,Elliott Neal,private_persone,29060
831,Forrest Vinson,legal_entity,55368
832,Mallory Hanson,legal_entity,28137
833,Mannix Dejesus,private_persone,82252
834,Marshall Blanchard,private_persone,85712
835,Velma Combs,legal_entity,56745
836,Kyra Allison,legal_entity,70266
837,Alfreda Pickett,private_persone,50396
838,Alexa Phelps,private_persone,57305
839,Althea Burnett,legal_entity,77988
840,Finn Santiago,legal_entity,57972
841,Donovan Camacho,private_persone,81569
842,Zephania Waller,private_persone,67862
843,Avram Barnes,legal_entity,72100
844,Sophia Mitchell,legal_entity,41662
845,Kim Smith,private_persone,96351
846,Declan Rivera,private_persone,93008
847,Demetria Vance,legal_entity,53716
848,Maite Moore,legal_entity,70523
849,Hadassah Nguyen,private_persone,25492
850,Colette Ross,private_persone,54498
851,Dora Gallegos,legal_entity,93479
852,Adam Dixon,legal_entity,32170
853,Stuart Petersen,private_persone,80547
854,Yasir Wallace,private_persone,70863
855,Barclay Wise,legal_entity,64055
856,Maryam Welch,legal_entity,60220
857,Breanna Morton,private_persone,65903
858,MacKensie Mcgowan,private_persone,68971
859,Pamela Stein,legal_entity,38487
860,Fiona Horton,legal_entity,58701
861,Holmes Moody,private_persone,83194
862,Larissa Castillo,private_persone,53318
863,Sonia Bruce,legal_entity,73818
864,Vernon Hines,legal_entity,96931
865,Rhiannon Fuentes,private_persone,91754
866,Kelsie Mckee,private_persone,62796
867,Joseph Faulkner,legal_entity,69023
868,Finn Jacobson,legal_entity,76334
869,Aimee Calderon,private_persone,79197
870,Allen Sutton,private_persone,10050
871,Yuri Velazquez,legal_entity,40039
872,Vivien Barrera,legal_entity,77414
873,Mikayla Blackwell,private_persone,62696
874,Maya Delaney,private_persone,34990
875,Elmo Bowers,legal_entity,89109
876,Priscilla Mcmahon,legal_entity,96834
877,Isaac Decker,private_persone,55120
878,Whilemina Soto,private_persone,20122
879,Tobias Wallace,legal_entity,15978
880,Kato Floyd,legal_entity,15375
881,Orli Romero,private_persone,35404
882,Iliana Cleveland,private_persone,94842
883,Rashad Conway,legal_entity,26027
884,Celeste Winters,legal_entity,4909
885,Lara Hayes,private_persone,68226
886,Blythe Ayers,private_persone,5741
887,Chadwick Houston,legal_entity,54048
888,Kadeem Anderson,legal_entity,14934
889,Zephania Patrick,private_persone,46093
890,Lester Johnson,private_persone,12338
891,Kevin Summers,legal_entity,6882
892,Brody Quinn,legal_entity,79205
893,Oren Alston,private_persone,42051
894,Gloria Hull,private_persone,43447
895,Steven Tyson,legal_entity,74749
896,Amity Gonzales,legal_entity,56830
897,Ingrid Wyatt,private_persone,70391
898,Erica Ortega,private_persone,42905
899,India Vega,legal_entity,77519
900,Zachary Barnett,legal_entity,19381
901,Donna Haley,private_persone,68266
902,Yoshi Gibson,private_persone,32956
903,Kimberly Russo,legal_entity,13356
904,Illiana Holland,legal_entity,47019
905,Raya Ochoa,private_persone,84631
906,Irene Rios,private_persone,16698
907,Rachel Miranda,legal_entity,36982
908,Hyatt Bartlett,legal_entity,32912
909,Cullen Parrish,private_persone,40477
910,Kato Fulton,private_persone,98424
911,Preston Reid,legal_entity,51269
912,Octavius Chapman,legal_entity,1902
913,Pascale Farley,private_persone,26619
914,Simon Christian,private_persone,50629
915,Tyler Richard,legal_entity,34061
916,Keith Rios,legal_entity,26487
917,Maggy Hood,private_persone,6947
918,Kuame Cash,private_persone,83464
919,Demetria Olson,legal_entity,56651
920,Daphne Dale,legal_entity,30474
921,Jennifer Barton,private_persone,48726
922,Cooper Vega,private_persone,71499
923,Iola Knight,legal_entity,24584
924,Norman Robbins,legal_entity,57168
925,Serina Meyers,private_persone,79860
926,Neville Patton,private_persone,34507
927,Quamar Burks,legal_entity,99758
928,Jack Holmes,legal_entity,8651
929,Ann Mcgee,private_persone,97505
930,Xanthus Russell,private_persone,22995
931,Alyssa Richard,legal_entity,59658
932,Vernon Mcdonald,legal_entity,47857
933,Lyle Berg,private_persone,17893
934,Nigel Buckner,private_persone,5227
935,Barry England,legal_entity,57017
936,Teegan Valenzuela,legal_entity,22094
937,Cathleen Warren,private_persone,13801
938,Jonah Hayden,private_persone,43132
939,Nadine Dotson,legal_entity,88860
940,Allen Pugh,legal_entity,34066
941,Kuame Schneider,private_persone,70277
942,Dominique Booker,private_persone,29168
943,Clinton Campbell,legal_entity,36380
944,Kennan Floyd,legal_entity,36100
945,Jane Mcneil,private_persone,66668
946,Kasimir Ellison,private_persone,51218
947,Noelle Lester,legal_entity,69324
948,Palmer Ortega,legal_entity,80594
949,Hector Hernandez,private_persone,64014
950,Blossom Rosa,private_persone,77152
951,Stephen Atkins,legal_entity,82909
952,Yolanda Mason,legal_entity,69829
953,Megan Black,private_persone,73967
954,William Jenkins,private_persone,35678
955,Holmes Dunlap,legal_entity,30405
956,Basil Webster,legal_entity,19841
957,Uriah Mcclain,private_persone,57459
958,Amber Cochran,private_persone,61691
959,Alexa Hays,legal_entity,52763
960,Cadman Marshall,legal_entity,96548
961,Dexter Warner,private_persone,61549
962,Erica Mcdaniel,private_persone,32058
963,Catherine Whitaker,legal_entity,36161
964,Chester Ayers,legal_entity,50342
965,Raja Hunt,private_persone,20712
966,Calvin Poole,private_persone,92117
967,Shellie Dillon,legal_entity,84530
968,Hayfa Moses,legal_entity,85134
969,Wesley Carney,private_persone,23908
970,Kirsten Hale,private_persone,2149
971,Leo Nieves,legal_entity,59599
972,Michelle Richards,legal_entity,22442
973,Mohammad Baxter,private_persone,94095
974,Reuben Spencer,private_persone,20306
975,Jolene May,legal_entity,38221
976,Kasper Crane,legal_entity,9143
977,Buffy Conrad,private_persone,99708
978,Igor Hendricks,private_persone,80582
979,Wesley Lindsey,legal_entity,2249
980,Tamara Torres,legal_entity,63382
981,Maggy Newton,private_persone,29572
982,Beau Sweeney,private_persone,99398
983,Madison Carter,legal_entity,65270
984,Tyrone Simmons,legal_entity,60896
985,Shoshana Reynolds,private_persone,59809
986,Arthur Gomez,private_persone,90826
987,Micah Merrill,legal_entity,29914
988,Lael Kelley,legal_entity,37945
989,Cadman Ruiz,private_persone,56848
990,Abel Glover,private_persone,43724
991,Lavinia Solomon,legal_entity,2438
992,Ronan Mcmahon,legal_entity,90373
993,Phoebe Douglas,private_persone,8979
994,Alden Mccarthy,private_persone,30885
995,Sheila Head,legal_entity,66685
996,Marshall Leon,legal_entity,19860
997,Yasir Franklin,private_persone,67119
998,Quinn Moses,private_persone,10497
999,Wanda Massey,legal_entity,29490
1000,Rhea Figueroa,legal_entity,12452
501,Camille Mosley,private_persone,59761
502,Mira Singleton,private_persone,67100
